オリュンポス十二神の最高神は？,4,オーディン,ポセイドン,アマテラス,ゼウス,『ワンピース』,アニメ『ワンピース』に登場するキャラクター。ビックマムの魂を直接与えられた特別なホーミーズで雷を扱う。
海神・地震の神とも呼ばれるオリュンポス十二神は？,4,クラーケン,ネッシー,海坊主,ポセイドン,『リトルマーメイド』,トリトン(アリエルの父)はポセイドンの息子としてディズニー映画『リトルマーメイド』に登場する。
オリュンポスの神々に先行する巨大な古の神々は？,3,ビックマム,エルバフ,タイタン,ブロギー,『タイタニック』,「タイタン」には「巨大な」という意味があり、巨大なものを表す際に「タイタン」が使用される。映画『タイタニック』もそれにちなんで名付けられた豪華客船である。
冥界の神は？,1,ハデス,アヌビス,ロキ,サノス,『ヘラクレス』,ディズニー映画『ヘラクレス』に悪役として登場する。
愛と美と性を司どる女神は？,2,フレイヤ,アフロディテ,エロス,フリッグ,『聖闘士星矢』,漫画『聖闘士星矢』に美の戦士として登場する。
オリュンポス十二神に含まれないのは？,4,ゼウス,ポセイドン,ヘルメス,ハデス,『ヘラクレス』,ディズニー映画『ヘラクレス』に悪役として登場する。
ゼウスの父親は？,4,クロックス,クロッカス,クロップ,クロノス,『クロノスタシス』,クロノスは「時間」を神格化した神であり、『クロノスタシス』はクロノス(時間)とスタシス(接続)に由来。因みに意味は「時計の針が止まって見える現象」である。
ゼウスの"正妻"は？,1,ヘラ,レト,メティス,デメテル,『マイティ・ソー』,映画『マイティ・ソー』で死を司る女神、美しすぎる最強の敵として、ソーと対決。
ゼウスのローマ読みは？,3,ヴィーナス,ネプチューン,ジュピター,マーキュリー,『美少女戦士セーラームーン』,アニメ『美少女戦士セーラームーン』にセーラージュピターとして登場する。
様々な災いを引き起こす原因となる例えは？,2,玉手箱,パンドラの箱,ビックリ箱,プレゼント,『パンドラの箱』,「上司からパンドラの箱を渡された」とは、「手に負えないことを任される」という意味になる。
ギリシャ神話における原初の神は？,3,カリス,マジス,カオス,ワロス,『混沌』,「カオス」の意味には、混沌や無秩序という意味があり、理解がしにくい、独特な空気として使われる。原初の神「カオス」は天と地が混じり合ってはっきり分かれていない混沌の世界から誕生したと言われている。
天界から火を盗み出し人間に与えた神は？,3,カルシファー,ファイヤー,プロメテウス,煉獄,『ワンピース』,アニメ『ワンピース』に登場するキャラクター。「プロメテウス」は、ビックマムの魂を直接与えられた特別なホーミーズとして炎を扱う。
