食べると二度と地上の暮らしに戻れなくなる冥界の果物は？,2,B,ザクロ,AB,O,『愚かしさ』,うっかりザクロの実を食べてしまったことにちなんで考えがたりないという意味がある。
オリュンポス十二神の一人で、貞潔の女神、月の女神と言えば？,4,マリ,マキ,マイ,アルテミス,『月とオリオン座』,オリオンとアルテミスは恋に落ちるが、アルテミスの兄(アポロン)がそれを認めず、二人を引き離しにかかる。海から出ているオリオンの頭を、岩と偽り、アルテミスに矢をいらせてしまう。オリオンは放たれた矢で死んでしまう。その事で大変悲しんだアルテミスは、ゼウスに頼んでオリオンを正座として夜空にあげてもらった。今でも冬の夜空には、オリオンに会う為、月がオリオン座を通っていく。
神々が常飲する生命の酒と言えば？,3,画家,シェフ,ネクタル,漫画家,『ネクター』,ネクターは果実をすり潰して作られるソフトドリンクで、非常に濃厚な味わいを持つ飲料水である。語源はギリシャ神話におけるネクタルで、不老不死の霊薬の意味も含まれている。
ギリシャ神話における奈落そのもの、奈落の神と言えば？,1,タルタロス,ハート,三日月,ドラゴン,『僕のヒーローアカデミー』,ヒロアカに登場する「タルタロス」は悪役キャラのヴィランを収容する「施設」であり、危険なキャラほど地下深くに収監される。奈落の神ということから奈落の底の意味が含まれている。
ヘパイストスが作った、人類最初の女性は？,2,8月4日,パンドラ,4月3日,6月12日,aaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaa
ギリシャ神話に登場する、上半身が女性で、下半身が蛇という妖怪は？,3,8月4日,3月3日,エキドナ,6月12日,『パズドラ』,ギリシャ神話通り上半身は女性、下半身は蛇の姿をしている。パズドラでは、強いスキルを持ちどのパーティーでも活躍できるキャラクター。
オリュンポス十二神の一人で、芸術の神、後に太陽神に神格した神と言えば？,1,アポロン(アポローン),3月3日,4月3日,6月12日,ああああああああああああ,あああああああああああ
ゼウスに抗い続けた結果、天を背負う役目を負わされた巨人の名は？,1,アトラス,3月3日,4月3日,6月12日,『アトラスオオカブト』,アトラスオオカブトは全長90mm程のカブトムシです。名前の由来は「天空を支える怪力男」アトラスからきている。
プロメテウスは何の鳥から肝臓を啄まれていた？,2,8月4日,オオワシ,4月3日,6月12日,ああああああああああああ,あああああああああああ
商業の神、ヘルメスの名前がつけられた惑星は？,4,8月4日,3月3日,4月3日,水星,sss,別名マーキュリーと呼ぶ。あああああああああ
ヘラのシンボルと言えば？,3,8月4日,3月3日,クジャク,6月12日,問題かえる,aaaaaaaaaaaaa
鍛治技術を持つ単眼の巨人と言えば？,1,キュクロプス(サイクロプス),3月3日,4月3日,6月12日,『X-MEN』,「X-MEN」に登場するサイクロップスは両目からレーザ光線を発射し、普段はその能力を封じこめる為にサングラスを着用している。目から目にかけて蔽うバイザーを着用している姿が、単眼の巨人と似ている。
